local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-12,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,61,0.1,87.4,6.0,28.5,1008.0,21.0,61.0,0.4,13.5,2.3,6.5
2020-04-12,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,61,,87.4,6.0,27.7,1008.0,25.0,61.0,,13.5,2.3,6.5
2020-04-12,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,68,,96.5,5.1,29.7,1008.9,23.0,68.0,0.6,11.4,,
2020-04-12,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,61,,72.0,5.5,29.7,1013.2,22.0,61.0,0.6,15.5,1.0,3.0
2020-04-12,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,63,0.1,87.4,10.1,26.0,1008.0,27.0,63.0,0.4,13.5,2.3,6.5
2020-04-12,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,68,0.1,87.4,2.3,25.2,1008.0,23.0,68.0,0.4,13.5,2.3,6.5
2020-04-12,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,80,0.1,96.0,4.6,26.0,1010.7,28.0,80.0,0.2,10.0,3.5,7.5
2020-04-12,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,70,,96.5,4.6,29.7,1008.9,25.0,70.0,0.6,11.4,,
2020-04-12,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,74,0.1,87.4,4.2,30.1,1008.0,27.0,74.0,0.2,13.5,2.3,6.5
