local date,local time,city,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew
2020-03-17,23:00:00,"Cremona Cadorna, Lombardia, Italy",45.13195042,10.01574064,76,79.1,1023.5,30.0,76.0,1.1,7.5,2.2,1.8,0.1,33.9,,
2020-03-17,23:00:00,"A2A Fossalon, Gorizia, Friuli Venezia Giulia, Italy",45.731622,13.486356,50,51.5,1029.0,14.0,50.0,1.0,17.0,2.8,9.7,,,,7.0
2020-03-17,23:00:00,"Cassana, Emilia Romagna, Italy",44.849548,11.562287,74,46.0,1029.3,27.0,74.0,,13.8,1.0,,0.1,17.0,36.6,
2020-03-19,06:00:00,"via flora, Benevento, Campania, Italy",41.13146,14.78938,38,63.2,1025.2,25.0,38.0,,11.0,0.6,2.9,,12.1,,
2020-03-17,23:00:00,"Giardini Margherita, Emilia Romagna, Italy",44.483628,11.355035,59,44.0,1028.7,22.0,59.0,,15.3,0.3,1.3,0.1,19.2,27.3,
2020-03-17,23:00:00,"Via Chiarini, Emilia Romagna, Italy",44.500093,11.286065,68,57.5,1030.0,24.0,68.0,,11.5,1.8,,0.1,37.5,32.1,3.5
2020-03-17,23:00:00,"Latina Scalo, Latina, Lazio, Italy",41.5338395,12.9467669,61,58.0,1022.9,22.0,61.0,0.2,17.7,0.1,6.0,0.1,11.0,30.0,
2020-03-19,07:00:00,"Acerra scuola Caporale, Acerra, Campania, Italy",40.94108,14.36981,16,73.0,1025.0,21.0,43.0,,10.0,1.5,11.3,16.3,12.3,,5.5
2020-03-17,23:00:00,"Sannazzaro de Burgondi , Lombardia, Italy",45.10277464,8.90418742,76,7.0,,32.0,76.0,31.5,8.3,1.1,1.5,,35.7,,
2020-03-17,23:00:00,"Lodi via Vignati, Lombardia, Italy",45.30601628,9.48527511,80,86.8,1023.8,38.0,80.0,2.1,8.4,0.1,0.1,0.1,33.9,,
2020-03-17,23:00:00,"Brescia Broletto, Lombardia, Italy",45.54006456,10.22281989,89,77.0,1012.2,32.0,89.0,,7.4,0.9,1.8,0.1,37.1,,
2020-03-16,23:00:00,"Viterbo, Viterbo, Lazio, Italy",42.4206766,12.107669,50,38.0,1025.0,14.0,50.0,0.8,16.6,4.0,6.0,0.1,1.9,27.7,
2020-03-17,23:00:00,"Bogolese, Emilia Romagna, Italy",44.829145,10.391537,72,51.5,1025.5,26.0,72.0,5.1,12.5,3.0,4.5,,41.6,33.3,
2020-03-17,23:00:00,"Gramsci, Firenze, Italy",43.770585907976,11.271415330415,57,37.6,1024.1,19.0,57.0,0.7,20.5,9.0,16.0,0.1,28.8,,
2020-03-19,07:00:00,"Scuola Osvaldo Conti, Salerno, Campania, Italy",40.69536,14.77751,1,1.0,1023.0,,63.0,,0.5,803.0,803.0,,31.4,0.5,
2020-03-17,23:00:00,"Montebello, Emilia Romagna, Italy",44.786636353,10.33647728,25,51.5,1025.5,25.0,59.0,,12.5,3.0,4.5,,47.6,32.1,
2020-03-17,23:00:00,"Passi, Pisa, Italy",43.73635268547,10.400971437911,72,43.8,1025.1,26.0,72.0,,19.4,4.0,5.6,0.1,19.7,,
2020-03-17,23:00:00,"Gerbido, Emilia Romagna, Italy",45.055889,9.747946,80,52.0,1029.0,33.0,80.0,,15.5,1.0,3.0,0.1,33.0,35.8,
2020-03-17,23:00:00,"Febbio, Emilia Romagna, Italy",44.300708,10.431042,33,52.0,1039.5,12.0,59.0,,16.6,3.0,4.0,,5.1,33.3,
2020-03-19,07:00:00,"Scuola De Amicis, Caserta, Campania, Italy",41.07795,14.33122,-,45.7,1017.6,34.0,52.0,,12.5,2.5,,10.9,8.7,,1.1
