local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-05,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,53,0.1,32.1,4.6,32.9,1019.7,18.0,53.0,0.4,20.5,2.0,7.0
2020-04-05,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,46,,32.1,5.5,29.3,1019.7,19.0,46.0,,20.5,2.0,7.0
2020-04-05,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,53,,37.6,3.2,32.9,1020.0,16.0,53.0,0.5,17.9,,
2020-04-05,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,57,,31.0,5.5,31.3,1021.5,20.0,57.0,0.4,19.4,2.0,6.0
2020-04-05,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,55,0.1,32.1,8.7,32.5,1019.7,19.0,55.0,1.3,20.5,2.0,7.0
2020-04-05,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,59,0.1,32.1,1.9,28.5,1019.7,17.0,59.0,0.4,20.5,2.0,7.0
2020-04-05,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,68,0.1,31.0,5.1,26.0,1022.2,23.0,68.0,0.2,16.9,4.2,10.5
2020-04-05,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,57,,37.6,5.1,32.9,1020.0,20.0,57.0,0.4,17.9,,
2020-04-05,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,59,0.1,32.1,2.3,31.3,1019.7,20.0,59.0,0.2,20.5,2.0,7.0
