local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-24,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,55,0.1,56.3,7.4,22.4,1010.0,18.0,55.0,0.1,22.0,3.1,9.4
2020-04-24,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,46,,56.3,7.4,21.2,1010.0,9.0,46.0,,22.0,3.1,9.4
2020-04-24,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,38,,52.6,8.7,14.3,1011.8,15.0,38.0,0.4,20.2,3.6,8.6
2020-04-24,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,53,,52.6,10.6,14.3,1011.8,19.0,53.0,0.3,20.2,3.6,8.6
2020-04-24,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,46,0.1,56.3,11.5,21.6,1010.0,15.0,46.0,0.1,22.0,3.1,9.4
2020-04-24,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,50,0.1,56.3,2.8,22.4,1010.0,15.0,50.0,0.3,22.0,3.1,9.4
2020-04-24,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,50,0.1,54.5,4.2,26.0,1012.4,16.0,50.0,0.2,18.9,4.8,12.5
2020-04-24,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,46,,52.6,6.0,21.6,1011.8,15.0,46.0,0.4,20.2,3.6,8.6
2020-04-24,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,50,0.1,56.3,4.2,24.8,1010.0,17.0,50.0,0.3,22.0,3.1,9.4
