local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-17,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,46,0.1,69.0,6.9,23.2,1016.3,15.0,46.0,0.2,20.3,1.3,6.0
2020-04-17,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,34,,69.0,8.7,20.4,1016.3,18.0,34.0,,20.3,1.3,6.0
2020-04-17,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,46,,90.6,7.4,22.4,1018.2,18.0,46.0,0.2,15.5,2.6,5.3
2020-04-16,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,38,,90.6,10.6,22.0,1018.2,15.0,38.0,0.3,15.5,2.6,5.3
2020-04-17,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,38,0.1,69.0,11.5,19.1,1016.3,21.0,38.0,0.2,20.3,1.3,6.0
2020-04-17,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,0,0.1,69.0,3.2,21.6,1016.3,17.0,42.0,0.2,20.3,1.3,6.0
2020-04-16,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,57,0.1,71.0,4.6,26.0,1019.0,20.0,57.0,0.2,18.8,5.0,12.0
2020-04-17,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,38,,90.6,6.0,22.4,1018.2,16.0,38.0,0.3,15.5,2.6,5.3
2020-04-17,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,46,0.1,69.0,5.1,24.8,1016.3,18.0,46.0,0.2,20.3,1.3,6.0
