local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-28,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,30,0.1,65.9,6.4,21.6,1009.3,18.0,30.0,0.3,20.8,7.5,18.2
2020-04-28,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,38,,66.3,6.0,22.0,1009.5,9.0,38.0,,20.8,5.7,13.2
2020-04-28,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,34,,68.3,6.9,23.6,1010.7,13.0,34.0,0.3,18.9,6.0,16.1
2020-04-28,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,42,,67.0,9.2,23.6,1010.5,21.0,42.0,0.3,19.4,7.0,17.0
2020-04-28,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,34,0.1,62.6,9.2,21.2,1009.1,15.0,34.0,0.3,21.1,9.6,19.0
2020-04-28,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,25,0.1,65.9,2.3,19.9,1009.3,15.0,25.0,0.3,20.8,7.5,18.2
2020-04-28,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,38,0.1,71.5,3.2,26.0,1011.8,16.0,38.0,0.2,16.9,6.0,15.0
2020-04-28,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,42,,68.3,3.2,23.6,1010.7,14.0,42.0,0.3,18.9,6.0,16.1
2020-04-28,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,38,0.1,62.6,3.2,26.4,1009.1,19.0,38.0,0.4,21.1,9.6,19.0
