local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-03-31,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,46,0.1,37.9,9.2,20.8,1013.4,15.0,46.0,0.2,10.0,6.7,16.1
2020-03-31,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,19,,37.9,10.6,17.1,1013.4,19.0,9.0,,10.0,6.7,16.1
2020-03-31,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,34,,42.0,7.8,18.7,1013.8,15.0,34.0,0.3,8.7,,
2020-03-31,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,42,,36.5,9.6,18.7,1014.8,20.0,42.0,0.3,9.5,12.0,21.8
2020-03-31,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,34,0.1,37.9,13.3,17.5,1013.4,16.0,34.0,0.2,10.0,6.7,16.1
2020-03-31,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,46,0.1,37.9,3.7,19.9,1013.4,14.0,46.0,0.2,10.0,6.7,16.1
2020-03-31,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,63,0.1,31.6,5.5,26.0,1014.3,24.0,63.0,0.2,8.7,3.4,12.0
2020-03-31,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,46,,42.0,6.9,18.7,1013.8,14.0,46.0,0.3,8.7,,
2020-03-31,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,55,0.1,37.9,5.1,22.8,1013.4,19.0,55.0,0.2,10.0,6.7,16.1
