local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-14,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,50,0.1,33.6,9.6,24.8,1018.2,14.0,50.0,0.6,17.5,1.6,7.3
2020-04-14,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,53,,33.6,11.9,21.6,1018.2,20.0,53.0,,17.5,1.6,7.3
2020-04-14,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,55,,37.6,7.8,30.1,1018.5,18.0,55.0,0.7,16.1,,
2020-04-14,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,50,,35.0,11.5,30.1,1019.7,18.0,50.0,0.2,16.6,5.0,11.0
2020-04-14,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,50,0.1,33.4,10.6,19.5,1018.2,16.0,50.0,0.6,17.7,1.5,7.5
2020-04-14,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,55,0.1,33.6,3.2,19.5,1018.2,15.0,55.0,0.6,17.5,1.6,7.3
2020-04-14,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,76,0.1,40.2,6.0,26.0,1020.2,27.0,76.0,0.2,14.8,4.2,12.0
2020-04-14,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,61,,37.6,6.4,22.4,1018.5,19.0,61.0,0.2,16.1,,
2020-04-14,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,59,0.1,33.6,6.0,28.1,1018.2,20.0,59.0,0.2,17.5,1.6,7.3
