local date,local time,location,lat,lon,aqi,co,dew,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-05-01,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,29,0.1,11.5,52.5,2.3,28.9,1011.0,12.0,17.0,0.2,21.5,1.8,
2020-05-01,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,27,,11.5,52.5,1.9,27.3,1011.0,15.0,25.0,,21.5,1.8,
2020-05-01,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,31,,,60.6,4.6,30.9,1010.3,11.0,17.0,0.7,21.1,2.3,5.3
2020-05-01,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,31,,,60.6,4.6,30.9,1010.3,14.0,21.0,0.7,21.1,2.3,5.3
2020-05-01,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,30,0.1,11.5,52.5,6.9,30.1,1011.0,11.0,25.0,0.2,21.5,1.8,
2020-05-01,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,23,0.1,11.5,52.5,0.5,23.2,1011.0,12.0,21.0,0.2,21.5,1.8,
2020-05-01,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,57,0.1,,54.5,1.4,26.0,1011.3,20.0,57.0,0.2,20.8,4.0,12.0
2020-05-01,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,31,,,60.6,1.0,30.9,1010.3,11.0,25.0,0.7,21.1,2.3,5.3
2020-04-29,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,-,0.1,12.0,51.0,2.8,27.7,1011.0,19.0,25.0,0.2,22.5,1.8,10.2
