local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-29,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,26,0.1,60.2,5.5,26.0,1010.1,15.0,21.0,0.4,23.1,5.0,11.5
2020-04-30,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,20,,60.2,7.4,19.5,1010.1,18.0,17.0,,23.1,5.0,11.5
2020-04-30,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,30,,62.6,6.9,22.0,1011.8,11.0,30.0,0.3,21.4,4.0,8.6
2020-04-30,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,38,,63.0,9.6,25.6,1011.8,12.0,38.0,0.3,21.1,4.0,8.0
2020-04-30,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,25,0.1,80.8,10.6,19.9,1006.8,12.0,25.0,0.3,18.8,0.7,4.3
2020-04-30,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,25,0.1,60.2,1.9,19.5,1010.1,12.0,25.0,0.4,23.1,5.0,11.5
2020-04-30,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,34,0.1,65.5,4.2,26.0,1013.0,13.0,34.0,0.2,18.6,4.7,13.5
2020-04-30,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,34,,63.0,5.1,22.0,1011.8,14.0,34.0,0.3,21.1,4.0,8.0
2020-04-29,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,28,0.1,59.0,2.8,27.7,1010.0,19.0,25.0,0.2,23.3,5.5,14.7
