local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-25,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,50,0.1,43.5,4.2,22.4,1008.2,15.0,50.0,1.1,21.7,1.7,5.1
2020-04-25,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,50,,43.5,4.2,21.2,1008.2,9.0,50.0,,21.6,1.6,5.1
2020-04-25,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,38,,47.6,6.0,21.6,1010.2,17.0,38.0,0.3,19.8,1.6,6.3
2020-04-25,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,46,,47.6,6.0,21.6,1010.2,14.0,46.0,0.4,19.8,1.6,6.3
2020-04-25,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,42,0.1,43.5,10.1,21.6,1008.3,15.0,42.0,1.1,21.6,1.6,5.1
2020-04-25,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,38,0.1,43.5,1.4,22.4,1008.3,12.0,38.0,0.1,21.6,1.6,5.1
2020-04-25,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,55,0.1,76.0,2.8,26.0,1011.0,17.0,55.0,0.2,11.1,1.0,3.0
2020-04-25,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,50,,47.6,3.2,21.6,1010.2,15.0,50.0,0.3,19.8,1.6,6.3
2020-04-25,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,53,0.1,43.5,3.2,24.8,1008.2,16.0,53.0,0.6,21.7,1.7,5.1
