local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-22,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,17,0.1,58.1,7.4,14.3,1013.2,6.0,17.0,0.3,20.2,1.4,5.4
2020-04-22,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,21,,58.1,8.7,10.6,1013.2,9.0,21.0,,20.2,1.4,5.4
2020-04-22,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,25,,63.6,7.8,8.6,1015.2,11.0,25.0,0.4,18.5,1.8,4.4
2020-04-22,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,30,,63.6,10.6,8.6,1015.2,9.0,30.0,0.4,18.5,1.8,4.4
2020-04-22,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,25,0.1,58.1,9.6,9.0,1013.2,12.0,25.0,0.3,20.2,1.4,5.4
2020-04-22,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,25,0.1,58.1,1.9,12.2,1013.2,9.0,25.0,0.3,20.2,1.4,5.4
2020-04-22,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,25,0.1,61.5,3.7,26.0,1015.9,9.0,25.0,0.2,17.1,3.8,10.5
2020-04-22,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,30,,63.6,7.4,8.6,1015.2,10.0,30.0,0.4,18.5,1.8,4.4
2020-04-22,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,15,0.1,58.1,5.1,14.7,1013.2,6.0,13.0,0.2,20.2,1.4,5.4
