local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-10,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,68,0.1,41.0,10.6,25.6,1018.9,29.0,68.0,0.3,23.3,2.0,9.0
2020-04-10,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,63,,41.0,11.5,23.6,1018.9,27.0,63.0,,23.3,2.0,9.0
2020-04-10,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,78,,42.0,9.2,27.7,1019.5,30.0,78.0,0.7,20.0,,
2020-04-10,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,63,,46.5,12.4,28.9,1020.9,22.0,63.0,0.3,20.2,2.2,4.7
2020-04-10,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,70,0.1,41.0,16.0,22.4,1018.9,23.0,70.0,0.1,23.3,2.0,9.0
2020-04-10,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,74,0.1,41.0,3.2,25.2,1018.9,29.0,74.0,0.3,23.3,2.0,9.0
2020-04-10,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,82,0.1,37.0,6.9,26.0,1021.9,31.0,82.0,0.2,19.7,5.0,13.5
2020-04-10,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,76,,42.0,9.2,27.7,1019.5,30.0,76.0,0.3,20.0,,
2020-04-10,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,80,0.1,41.0,7.4,28.1,1018.9,30.0,80.0,0.2,23.3,2.0,9.0
