local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-06,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,63,0.1,39.5,10.1,28.9,1022.9,22.0,63.0,0.1,22.2,3.5,12.0
2020-04-06,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,55,,39.5,10.6,28.1,1022.9,24.0,55.0,,22.2,3.5,12.0
2020-04-06,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,68,,39.0,7.8,29.7,1023.0,24.0,68.0,0.6,18.8,,
2020-04-06,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,68,,39.0,11.9,29.7,1024.5,22.0,68.0,0.6,20.5,3.0,8.0
2020-04-06,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,55,0.1,39.5,12.8,29.7,1022.9,23.0,55.0,0.1,22.2,3.5,12.0
2020-04-06,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,65,0.1,39.5,2.8,29.3,1022.9,23.0,65.0,0.1,22.2,3.5,12.0
2020-04-06,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,74,0.1,40.0,6.9,26.0,1025.5,27.0,74.0,0.2,18.3,6.5,18.0
2020-04-06,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,65,,39.0,8.3,29.7,1023.0,26.0,65.0,0.6,18.8,,
2020-04-06,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,65,0.1,39.5,4.6,31.3,1022.9,24.0,65.0,0.2,22.2,3.5,12.0
