local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-04-23,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,34,0.1,57.0,7.8,17.9,1010.1,10.0,34.0,0.3,22.2,2.5,8.5
2020-04-23,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,16,,61.2,7.4,15.9,1010.4,9.0,13.0,,20.3,1.2,6.1
2020-04-23,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,30,,55.6,7.8,14.3,1011.9,10.0,30.0,0.3,20.0,2.6,8.0
2020-04-23,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,21,,55.5,11.5,14.3,1011.9,10.0,21.0,0.3,20.0,2.0,7.5
2020-04-23,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,25,0.1,57.0,10.6,16.7,1010.1,10.0,25.0,0.3,22.2,2.5,8.5
2020-04-23,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,19,0.1,57.0,1.4,18.7,1010.1,8.0,17.0,0.3,22.2,2.5,8.5
2020-04-23,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,42,0.1,49.5,4.2,26.0,1012.5,17.0,42.0,0.2,18.8,4.0,13.5
2020-04-23,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,30,,55.6,6.0,14.3,1011.9,10.0,30.0,0.3,20.0,2.6,8.0
2020-04-23,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,25,0.1,57.0,3.2,20.8,1010.1,11.0,25.0,0.7,22.2,2.5,8.5
