local date,local time,location,lat,lon,aqi,co,dew,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-05-02,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,23,0.1,12.0,49.0,4.2,23.2,1011.0,15.0,21.0,0.1,23.0,3.6,
2020-05-02,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,21,,12.0,49.0,3.7,21.2,1011.0,17.0,21.0,,23.0,3.6,
2020-05-02,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,21,,,55.5,6.4,30.9,1010.2,15.0,21.0,0.2,23.3,2.5,7.0
2020-05-02,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,21,,,55.5,7.4,30.9,1010.2,13.0,21.0,0.7,23.3,2.5,7.0
2020-05-02,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,25,0.1,12.0,48.0,9.2,24.8,1011.0,18.0,25.0,0.1,23.5,3.3,
2020-05-02,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,30,0.1,12.0,49.0,1.0,19.9,1011.0,18.0,30.0,0.1,23.0,3.6,
2020-05-02,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,38,0.1,,52.0,2.8,26.0,1011.4,16.0,38.0,0.2,21.6,4.5,13.5
2020-05-02,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,30,,,55.0,2.3,25.2,1010.1,14.0,30.0,0.2,23.3,3.3,8.0
2020-05-02,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,34,0.1,12.0,53.0,2.3,24.4,1011.0,19.0,34.0,0.4,22.0,5.6,10.2
