local date,local time,city,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-19,23:00:00,"Carducci, Livorno, Italy",43.552268087855,10.329007715785,57,59.0,1022.0,20.0,57.0,,17.0,0.5,,0.1,37.5,,9.0,
2020-03-19,23:00:00,"Isonzo, Emilia Romagna, Italy",44.842488,11.613141,46,87.0,1022.6,46.0,95.0,,10.0,1.0,,0.1,20.6,44.3,,
2020-03-19,23:00:00,"Gherardi, Emilia Romagna, Italy",44.839749,11.961252,93,80.0,1019.7,38.0,93.0,,10.0,2.0,2.0,0.1,9.2,40.3,,
2020-03-18,23:00:00,"Milano Senato, Lombardia, Italy",45.470501,9.19746075,112,67.9,1020.5,45.0,112.0,,11.6,,,0.1,38.4,,,
2020-03-18,23:00:00,"Brescia Villaggio Sereno, Lombardia, Italy",45.515945,10.21914764,117,66.0,1012.5,49.0,117.0,2.1,10.0,3.5,4.0,,29.8,41.1,,
2020-03-19,23:00:00,"Villa Fulvia, Emilia Romagna, Italy",44.824263,11.649618,99,95.0,1022.8,43.0,99.0,,10.5,2.0,4.0,0.1,17.4,45.1,,
2020-03-19,23:00:00,"Caorle, Emilia Romagna, Italy",44.419261,12.225385,114,84.0,1023.6,40.0,114.0,5.1,12.2,4.0,6.0,0.1,19.7,43.9,,
2020-03-20,17:00:00,"I.t.i.s. Argine, Napoli, Campania, Italy",40.86427,14.34108,59,71.0,1020.0,14.0,59.0,2.1,14.0,2.0,11.3,4.6,4.8,,9.0,
2020-03-18,23:00:00,"Dalmine via Verdi, Lombardia, Italy",45.64971,9.60123469,109,76.0,1022.0,42.0,109.0,,9.0,2.8,,0.1,28.4,,5.0,
2020-03-18,23:00:00,"Pavia Folperti, Lombardia, Italy",45.19468231,9.16464919,49,78.6,1023.7,49.0,,12.7,9.2,0.5,0.2,,23.4,45.1,,
2020-03-19,23:00:00,"Ostellato, Emilia Romagna, Italy",44.740896,11.941937,114,95.0,1022.8,38.0,114.0,,10.5,2.0,4.0,0.1,7.8,44.3,,
2020-03-18,23:00:00,"Staffarda, Revello, Piemonte, Italy",44.7202123,7.4383072,85,63.0,1011.4,,85.0,,9.4,0.3,0.4,,,,,
2020-03-19,23:00:00,"Borghetto, Pisa, Italy",43.71153749249,10.409876134347,74,45.0,1021.4,25.0,74.0,,18.4,2.0,2.7,0.1,27.9,,,
2020-03-19,23:00:00,"De Amicis, Emilia Romagna, Italy",44.355422,11.720672,28,54.0,1020.1,28.0,74.0,,13.3,5.0,,,19.2,41.1,,
