local date,local time,city,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-18,23:00:00,"Gorizia, Gorizia, Friuli Venezia Giulia, Italy",45.93701316,13.61633301,63,37.8,1023.9,20.0,63.0,0.1,21.6,0.6,5.0,,,,,
2020-03-18,23:00:00,"Hera, Emilia Romagna, Italy",44.229397,12.08916,85,73.5,1024.9,37.0,85.0,,12.2,0.5,0.5,0.1,17.4,42.7,,
2020-03-18,23:00:00,"Como Centro, Lombardia, Italy",45.81504217,9.06697886,85,40.2,1011.2,33.0,85.0,1.1,5.5,0.5,2.0,0.1,20.6,43.5,,
2020-03-18,23:00:00,"Bassi, Firenze, Italy",43.784169388287,11.286879604208,59,52.7,1019.2,20.0,59.0,0.6,20.7,,,0.1,13.8,,10.7,99.2
2020-03-20,07:00:00,"Solofra Zona Industriale, Solofra, Campania, Italy",40.83555,14.82459,-,1.0,1021.5,20.0,44.0,0.2,0.5,803.0,803.0,5.5,1.2,,,
2020-03-20,06:00:00,"Ospedale via Vernieri, Salerno, Campania, Italy",40.68389,14.76972,66,1.0,1021.5,22.0,66.0,,0.5,803.0,803.0,1.9,20.6,,,
2020-03-17,23:00:00,"Cantavenna, Gabiano, Piemonte, Italy",45.159718,8.2261891,78,87.5,1023.9,,78.0,,3.3,0.2,,0.1,,,,
2020-03-18,23:00:00,"Diga, Ceresole Reale, Piemonte, Italy",45.4321772,7.2343067,34,,,,34,,0,4,,,,,,
2020-03-18,23:00:00,"Rebaudengo, Torino, Piemonte, Italy",45.104332,7.6964231,89,65.2,1019.5,,89.0,,10.1,0.5,2.2,0.1,,,,
2020-03-18,23:00:00,"Delta Cervia, Emilia Romagna, Italy",44.283857,12.332249,53,62.0,1023.0,53.0,85.0,5.1,13.0,1.5,,0.1,12.4,42.7,6.0,
2020-03-18,23:00:00,"Cassino, Frosinone, Lazio, Italy",41.4907889,13.8333776,93,23.0,1033.1,36.0,93.0,0.6,23.8,5.0,8.0,0.1,11.0,15.9,,
2020-03-18,23:00:00,"Parco Ferrari, Emilia Romagna, Italy",44.651569,10.907312,95,55.0,1022.0,41.0,95.0,,11.1,3.0,4.0,,40.7,39.4,,
2020-03-18,23:00:00,"Parco Bertozzi, Emilia Romagna, Italy",44.285612,11.873396,74,71.7,1021.7,27.0,74.0,,10.4,4.5,5.5,,25.2,41.1,,
2020-03-18,23:00:00,"Cipro, Roma, Lazio, Italy",41.9071831,12.4466876,80,36.6,1021.4,31.0,80.0,0.6,20.8,4.1,11.3,0.1,13.8,16.3,,
2020-03-18,23:00:00,"Sondrio via Paribelli, Lombardia, Italy",46.16785664,9.87921169,57,73.0,1023.3,16.0,57.0,,8.8,3.0,2.0,,11.9,41.5,,
2020-03-18,23:00:00,"Corte Brugnatella, Emilia Romagna, Italy",44.734728,9.366928,46,77.7,1023.4,28.0,78.0,,7.7,2.0,0.5,0.1,7.8,46.3,,
2020-03-18,23:00:00,"San Pietro Capofiume, Emilia Romagna, Italy",44.654232025,11.624819756,85,81.9,1025.8,33.0,85.0,,7.8,1.5,,0.1,10.6,43.9,4.9,
2020-03-20,07:00:00,"Nocera Inferiore scuola Solimene, Nocera Inferiore, Campania, Italy",40.7404,14.64345,6,60.0,1022.7,29.0,78.0,3.4,13.8,0.5,3.0,5.5,17.6,,,
2020-03-18,23:00:00,"Bergamo Via Meucci, Lombardia, Italy",45.691044,9.64366225,99,81.2,1021.8,34.0,99.0,,7.3,0.1,,0.1,16.5,44.7,,
2020-03-18,23:00:00,"Via del Ponticello, Trieste, Friuli Venezia Giulia, Italy",45.62062,13.783761,59,9.3,1024.0,30.0,59.0,2.1,22.0,4.0,13.3,,,,,
2020-03-18,23:00:00,"Castellarano, Emilia Romagna, Italy",44.516242,10.733905,91,45.0,1019.1,34.0,91.0,,15.7,1.2,2.4,,16.0,41.5,,
2020-03-18,23:00:00,"Moggio , Lombardia, Italy",45.91279097,9.49754261,55,78.0,1021.8,16.0,55.0,,6.6,0.5,4.0,,7.4,48.8,,
2020-03-18,23:00:00,"Arenula, Roma, Lazio, Italy",41.8932669,12.4753855,53,36.6,1021.4,34.0,53.0,,20.8,4.1,11.3,,17.0,14.7,,
2020-03-18,23:00:00,"Ferentino, Frosinone, Lazio, Italy",41.6956788,13.2577285,91,38.7,1015.7,36.0,91.0,0.8,14.8,2.0,7.2,0.1,5.5,26.4,,
2020-03-18,23:00:00,"Giordani-farnese, Emilia Romagna, Italy",45.04884,9.693265,48,68.5,1018.2,48.0,74.0,,11.6,,,0.1,53.6,32.9,,
2020-03-18,23:00:00,"Pordenone Centro, Pordenone, Friuli Venezia Giulia, Italy",45.962624,12.655944,72,47.2,1026.2,25.0,72.0,,19.0,1.0,5.2,,,,,
2020-03-20,07:00:00,"Portici parco reggia, Portici, Campania, Italy",40.81588,14.34927,8,76.0,1023.0,23.0,63.0,,10.0,1.2,11.3,,25.2,8.1,6.0,
2020-03-17,23:00:00,"Lingotto, Torino, Piemonte, Italy",45.0314278,7.6517438,87,61.3,1019.7,,87.0,,11.4,0.3,2.6,,,,,
2020-03-18,23:00:00,"Molli, Borgomanero, Piemonte, Italy",45.6989656,8.4606044,65,62.0,1022.5,,65.0,,11.1,2.3,6.3,0.1,,,,
2020-03-18,23:00:00,"Cornale , Lombardia, Italy",45.04008561,8.91415717,114,7.0,,,114.0,,9.5,0.2,0.4,0.1,15.1,43.9,,
2020-03-18,23:00:00,"Guidonia, Roma, Lazio, Italy",41.9939694,12.7245045,70,40.0,1021.5,32.0,70.0,0.2,18.8,,,,11.0,17.1,,
2020-03-18,23:00:00,"Lecco Via Sora, Lombardia, Italy",45.86375372,9.39995481,63,78.0,1021.8,20.0,63.0,,6.6,0.5,4.0,,16.0,43.9,,
2020-03-18,23:00:00,"Cappiello, Livorno, Italy",43.517506738783,10.321031260215,59,42.0,1024.0,18.0,59.0,,20.0,4.1,,0.1,21.5,28.9,7.0,
2020-03-18,23:00:00,"Cento, Emilia Romagna, Italy",44.733011,11.299659,43,66.5,1020.4,40.0,74.0,,11.1,0.7,1.1,0.1,36.2,43.1,,
2020-03-18,23:00:00,"Poggibonsi, Poggibonsi, Italy",43.470437486833,11.141284549758,65,20.4,1022.5,20.0,65.0,,22.9,1.0,4.0,,22.9,,,
2020-03-20,07:00:00,"Benevento Campo Sportivo, Benevento, Campania, Italy",41.11575,14.77998,2,81.3,1023.9,32.0,59.0,,9.0,0.4,1.0,,5.0,1.8,,
2020-03-18,23:00:00,"Varese Copelli, Lombardia, Italy",45.8169745,8.82024911,85,59.7,1025.5,28.0,85.0,,10.5,6.0,7.0,0.1,31.6,,,
2020-03-18,23:00:00,"Schivenoglia , Lombardia, Italy",45.01688067,11.07609728,97,88.0,1022.5,42.0,97.0,2.1,7.2,2.0,3.5,0.1,13.8,48.0,,
2020-03-18,23:00:00,"Besenzone, Emilia Romagna, Italy",44.9895,10.019201,104,47.0,1020.2,38.0,104.0,5.1,15.7,0.8,0.6,0.1,15.1,41.5,,
2020-03-18,23:00:00,"Saragat, Emilia Romagna, Italy",44.925963,10.371914,104,53.1,1008.2,40.0,104.0,5.1,16.1,,0.1,,12.4,33.8,,
2020-03-18,23:00:00,"Porto San Vitale, Emilia Romagna, Italy",44.443746,12.253247,114,81.5,1024.1,51.0,114.0,5.1,10.5,1.5,0.2,0.1,24.3,24.4,,
2020-03-20,07:00:00,"Istituto Manzoni, Caserta, Campania, Italy",41.08444,14.34472,85,86.1,1016.3,33.0,85.0,,8.6,1.0,,,15.4,13.6,6.4,
2020-03-18,23:00:00,"Alpini, Cuneo, Piemonte, Italy",44.3703176,7.5251893,0,68.0,1021.0,,65.0,,4.4,0.3,4.0,0.1,,,,
2020-03-20,06:00:00,"Museo Nazionale, Napoli, Campania, Italy",40.85419,14.25133,102,84.3,1024.0,48.0,102.0,,13.5,0.3,,9.1,32.8,,,
2020-03-18,23:00:00,"Casirate d`Adda , Lombardia, Italy",45.49822794,9.55624181,132,76.0,1022.0,50.0,132.0,,9.0,2.8,,,30.2,45.1,5.0,
