local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-05-09,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, 00165, Italia",41.9071831,12.4466876,42,0.1,56.0,8.7,26.4,1006.9,13.0,42.0,0.3,18.8,0.5,2.5
2020-05-09,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, 00186, Italia",41.8932669,12.4753855,34,,39.3,6.4,25.6,1009.8,16.0,34.0,,25.0,2.7,7.0
2020-05-09,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, 00010, Italia",41.9939694,12.7245045,42,,38.0,9.6,29.7,1011.8,16.0,42.0,0.5,24.4,2.0,9.0
2020-05-09,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, 00012, Italia",41.9644063,12.6684397,42,,38.0,14.7,29.7,1011.8,14.0,42.0,0.5,24.4,2.0,9.0
2020-05-09,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, 00199, Italia",41.9328321,12.5012473,53,0.1,39.3,11.9,24.8,1009.8,18.0,53.0,0.3,25.0,2.7,7.0
2020-05-09,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, 00197, Italia",41.9248746,12.4934413,42,0.1,39.3,2.3,25.2,1009.8,14.0,42.0,0.3,25.0,2.7,7.0
2020-05-09,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, 00034, Italia",41.7272528,13.0037837,61,0.1,48.0,6.0,26.0,1013.5,27.0,61.0,0.2,21.6,2.0,6.0
2020-05-09,23:00:00,"Via Limosano, Municipio Roma IV, Zona VI Settecamini, Roma Capitale, 00115, Italia",41.9363397,12.6544146,42,,38.0,7.4,29.7,1011.8,16.0,42.0,0.5,24.4,2.0,9.0
2020-05-09,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Italia",41.883706,12.3337009,42,0.1,39.3,4.6,29.7,1009.8,15.0,42.0,0.3,25.0,2.7,7.0
