local date,local time,location,lat,lon,aqi,co,h,no2,o3,p,pm10,pm25,so2,t,w,wg
2020-03-27,23:00:00,"iperoil, Via Cipro, Balduina, Quartiere XIV Trionfale, Roma, Roma Capitale, Lazio, 00165, Italia",41.9071831,12.4466876,16,0.1,66.5,10.6,15.9,1010.3,6.0,9.0,0.4,15.4,0.8,3.5
2020-03-27,23:00:00,"Farmacia, 5, Piazza Benedetto Cairoli, Rione VII Regola, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia",41.8932669,12.4753855,14,,66.5,15.1,13.9,1010.3,9.0,9.0,,15.4,0.8,3.5
2020-03-27,23:00:00,"Isidoro e Maria - Pizzeria Friggitoria, Viale Roma, La Pietrara, Le Muratelle, Guidonia Montecelio, Roma Capitale, Lazio, 00010, Italia",41.9939694,12.7245045,46,,74.2,10.1,13.5,1010.5,16.0,46.0,0.5,12.3,,
2020-03-27,23:00:00,"Via Danimarca, Colle Laghetto, Guidonia Montecelio, Roma Capitale, Lazio, 00012, Italia",41.9644063,12.6684397,14,,68.6,12.4,13.5,1011.8,7.0,13.0,0.5,13.3,1.0,4.0
2020-03-27,23:00:00,"Scuola di equitazione, Viale Alexander Dubcek, Quartiere II Parioli, Roma, Roma Capitale, Lazio, 00199, Italia",41.9328321,12.5012473,34,0.1,66.5,6.4,13.5,1010.3,6.0,34.0,0.4,15.4,0.8,3.5
2020-03-27,23:00:00,"Libera Università Internazionale degli Studi Sociali (LUISS) Guido Carli, Via Panama, Municipio Roma II, Roma, Roma Capitale, Lazio, 00197, Italia",41.9248746,12.4934413,18,0.1,66.5,1.9,17.9,1010.3,6.0,17.0,0.4,15.4,0.8,3.5
2020-03-27,23:00:00,"Via Latina, Colleferro Scalo, Colleferro, Roma Capitale, Lazio, 00034, Italia",41.7272528,13.0037837,50,0.1,87.3,5.1,26.0,1002.7,14.0,50.0,0.2,8.5,1.6,5.6
2020-03-27,23:00:00,"Via Limosano, Zona VI Settecamini, Roma, Roma Capitale, Lazio, 00115, Italia",41.9363397,12.6544146,57,,74.2,12.4,13.5,1010.5,16.0,57.0,0.5,12.3,,
2020-03-27,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Lazio, Italia",41.883706,12.3337009,42,0.1,66.5,5.5,21.6,1010.3,12.0,42.0,0.3,15.4,0.8,3.5
