local date,local time,location,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-22,23:00:00,"Chiesa Cristiana Evangelica, Via del Pioppeto, Latina, Lazio, 04013, Italia",41.5338395,12.9467669,65,34.9,1014.1,22.0,65.0,0.2,16.6,0.3,3.9,0.1,4.6,30.0,,
2020-03-23,17:00:00,"Via Giovanni Calzolaio, Acerra, Napoli, Campania, 80011, Italia",40.94108,14.36981,-,45.0,1019.0,31.0,63.0,,7.0,6.1,10.8,6.4,2.8,,-4.0,
2020-03-21,23:00:00,"Via Monsignore P. Anglese, Buscarella, Sannazzaro de' Burgondi, Pavia, Lombardia, 27039, Italia",45.10277464,8.90418742,74,3.0,,24.0,74.0,22.3,10.7,10.7,13.2,,13.8,,,
2020-03-21,23:00:00,"Via della Precacesa, San Fereolo, Lodi, Lombardia, 26900, Italia",45.30601628,9.48527511,61,49.3,1026.6,31.0,61.0,2.1,6.6,1.5,12.6,0.1,17.4,,,
2020-03-21,23:00:00,"Salita della Memoria, Brescia Antica, Zona Centro, Brescia, Lombardia, 25121, Italia",45.54006456,10.22281989,91,35.0,1012.5,34.0,91.0,,6.6,5.0,6.0,0.1,13.3,,,
2020-03-22,23:00:00,"Piazza Giuseppe Verdi, Via Guglielmo Marconi, Centro Giovanni XXIII, Viterbo, Lazio, 01100, Italia",42.4206766,12.107669,53,38.0,1019.0,16.0,53.0,0.5,6.6,6.0,10.0,0.1,1.9,30.9,,
2020-03-22,23:00:00,"6, Via Grazia Deledda, Bogolese, Sorbolo Mezzani, Emilia-Romagna, 43058, Italia",44.829145,10.391537,53,87.0,1008.7,16.0,53.0,5.1,7.7,,0.1,,3.7,26.9,,
2020-03-22,23:00:00,"Piazza Cesare Beccaria, San Niccolò, Quartiere 1, Firenze, Toscana, 50121, Italia",43.770585907976,11.271415330415,55,29.6,1019.7,17.0,55.0,0.8,8.8,,,0.1,14.7,,-8.0,
2020-03-23,17:00:00,"Chiesa Sacra Famiglia, Via Nicola Buonservizi, Fratte, Brignano Inferiore, Salerno, Campania, 84135, Italia",40.69536,14.77751,31,1.0,1016.4,,69.0,,0.5,,,,2.4,30.8,,
2020-03-22,23:00:00,"4, Via Giorgio Compiani, Cittadella, Parma, Emilia-Romagna, 43121, Italia",44.786636353,10.33647728,16,87.0,1008.7,16.0,72.0,,7.7,,0.1,,5.1,34.2,,
2020-03-22,23:00:00,"88, Via XXIV Maggio, I Passi, Porta a Lucca, Pisa, Toscana, 56123, Italia",43.73635268547,10.400971437911,63,22.5,1022.7,21.0,63.0,,12.1,9.3,12.5,0.1,7.8,,,
2020-03-21,23:00:00,"Nizzarolo, Piacenza, Emilia-Romagna, 29122, Italia",45.055889,9.747946,70,83.0,1013.1,25.0,70.0,,9.4,,,0.1,19.7,36.2,,
2020-03-21,23:00:00,"Osservatorio Astronomico “Pierino Zambonini”, Via Rescadore, Rescadore, Villa Minozzo, Appennino Reggiano, Reggio nell'Emilia, Emilia-Romagna, 42030, Italia",44.300708,10.431042,70,59.4,1026.3,18.0,70.0,,16.4,4.8,7.1,,3.7,35.8,,
2020-03-23,17:00:00,"Chiesa di Sant'Antonio da Padova, Corso Pietro Giannone, Caserta, Aldifreda, Caserta, Campania, 81100, Italia",41.07795,14.33122,-,43.6,1012.1,29.0,56.0,,7.4,4.6,,1.9,1.8,,-4.2,
2020-03-22,23:00:00,"3/3A, Viale Antonio Silvani, Saragozza-Porto, Bologna, Emilia-Romagna, 40122, Italia",44.500017,11.328501,50,39.5,1028.5,19.0,50.0,,5.0,7.2,,0.1,14.2,38.6,-7.5,
2020-03-22,23:00:00,"21, Viale della Repubblica, Fiumicino, Savignano sul Rubicone, Unione Rubicone e mare, Forlì-Cesena, Emilia-Romagna, 47039, Italia",44.096869,12.403328,34,43.0,1027.7,20.0,34.0,,5.5,8.7,17.5,0.1,7.4,31.7,,
2020-03-22,23:00:00,"Monumento ai tre Martiri Toscani, Viale Giuseppe Mazzini, Centro Storico, Frosinone, Lazio, 03100, Italia",41.63729,13.35094,95,44.1,1006.4,34.0,95.0,0.6,10.5,1.0,5.5,0.1,3.7,29.7,,
2020-03-23,17:00:00,"Europa, Bottiglieri, Salerno, Campania, Italia",40.66142,14.80449,34,1.0,1015.9,27.0,61.0,0.1,0.5,,,4.6,2.1,33.7,,
2020-03-22,23:00:00,"Via Valentino Cigliutti, Municipio Roma XII, Roma, Roma Capitale, Lazio, Italia",41.883706,12.3337009,91,31.5,1015.0,35.0,91.0,0.6,12.5,10.0,21.1,0.1,8.3,19.5,,
2020-03-21,23:00:00,"Soresina, Cremona, Lombardia, 26015, Italia",45.28398,9.86340258,95,41.0,1022.8,39.0,95.0,,6.1,12.0,23.0,,,,,
2020-03-21,23:00:00,"Tamoil, Via Barbi, Capo di Villa, Borgocarbonara, Mantova, Lombardia, 45037, Italia",45.04650286,11.18094889,95,33.0,1027.6,44.0,95.0,,8.8,10.0,20.0,,6.4,,,
2020-03-22,23:00:00,"PAM, 132, Via Emilio Boni, Soccorso, La Pietà, Prato, Toscana, 59100, Italia",43.872401192971,11.104666288874,55,25.0,1023.7,18.0,55.0,,8.8,6.0,19.0,0.1,11.5,,,
2020-03-23,17:00:00,"Via della Libertà, Maddaloni, Caserta, Campania, 81024, Italia",41.04592,14.37809,23,43.6,1012.1,24.0,69.0,,7.4,4.6,,,1.7,23.0,-4.2,
2020-03-23,17:00:00,"Municipalità 3, Napoli, Campania, 80137, Italia",40.86369,14.25451,20,45.0,1019.0,33.0,60.0,,7.0,6.6,10.8,1.0,1.6,19.7,-4.0,
2020-03-18,07:00:00,"Liceo Classico Domenico Cirillo, Via Vittorio Colonna, Aversa, Caserta, Campania, 81031, Italia",40.97548,14.2114,2,43.5,1023.8,35.0,84.0,,20.0,5.5,9.5,1.9,12.9,,,
