local date,local time,location,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-22,23:00:00,,45.93701316,13.61633301,34,23.5,1026.8,8.0,34.0,1.3,8.6,4.0,11.0,,,,,
2020-03-22,23:00:00,,44.229397,12.08916,50,42.0,1027.4,20.0,50.0,,6.9,0.5,11.0,0.1,5.5,29.3,,
2020-03-21,23:00:00,,45.81504217,9.06697886,59,50.0,1013.2,22.0,59.0,0.6,4.4,5.0,9.0,0.1,14.2,47.6,,
2020-03-22,23:00:00,,43.784169388287,11.286879604208,53,35.6,1021.1,16.0,53.0,0.8,7.7,,,0.1,8.3,,-6.6,
2020-03-23,12:00:00,,40.83555,14.82459,6,1.0,1014.8,26.0,59.0,0.8,0.5,,,6.4,1.2,,,
2020-03-23,11:00:00,,40.68389,14.76972,49,1.0,1014.8,17.0,49.0,,0.5,,,0.2,2.7,,,
2020-03-19,23:00:00,,45.159718,8.2261891,95,87.5,1014.3,,95.0,,2.7,0.2,,0.1,,,,
2020-03-21,23:00:00,,45.4321772,7.2343067,38,,,,38,,0,4,,,,,,
2020-03-21,23:00:00,,45.104332,7.6964231,70,61.2,1022.7,,70.0,,6.9,4.7,15.2,0.1,,,,
2020-03-21,23:00:00,,44.283857,12.332249,39,71.0,1018.0,30.0,102.0,5.1,12.0,6.1,,0.1,3.7,39.0,7.0,
2020-03-22,23:00:00,,41.4907889,13.8333776,107,24.0,1026.6,40.0,107.0,0.3,15.0,14.0,21.0,0.1,5.5,19.1,,
2020-03-21,23:00:00,,44.651569,10.907312,61,85.2,1014.6,26.0,61.0,,9.0,5.2,9.0,,14.2,39.0,,
2020-03-21,23:00:00,,44.285612,11.873396,76,61.6,1016.9,30.0,76.0,,12.9,2.6,4.3,,6.0,38.6,,
2020-03-22,23:00:00,,41.9071831,12.4466876,76,31.5,1015.0,30.0,76.0,0.3,12.5,10.0,21.1,0.1,6.9,25.6,,
2020-03-21,23:00:00,,46.16785664,9.87921169,50,53.0,1024.7,13.0,50.0,,8.3,4.0,12.0,,6.0,41.1,,
2020-03-21,23:00:00,,44.734728,9.366928,45,96.5,1014.6,8.0,85.0,,3.8,2.2,4.7,0.1,6.9,44.7,,
2020-03-22,23:00:00,,44.654232025,11.624819756,46,35.7,1029.0,16.0,46.0,,4.3,1.5,,0.1,3.7,32.1,-9.6,
2020-03-23,12:00:00,,40.7404,14.64345,3,54.0,1016.7,37.0,63.0,2.8,7.7,9.0,23.0,1.9,2.3,,,
2020-03-21,23:00:00,,45.691044,9.64366225,74,50.6,1027.7,25.0,74.0,,4.4,0.2,,0.1,9.2,45.5,,
2020-03-22,23:00:00,,45.62062,13.783761,30,14.0,1027.0,9.0,30.0,1.1,8.3,12.0,16.0,,,,,
2020-03-21,23:00:00,,44.516242,10.733905,70,85.2,1014.6,23.0,70.0,,9.0,5.2,9.0,,13.8,43.1,,
2020-03-21,23:00:00,,45.91279097,9.49754261,55,69.8,1025.1,20.0,55.0,,0.1,2.0,5.1,,4.6,49.6,,
2020-03-22,23:00:00,,41.8932669,12.4753855,53,31.5,1015.0,35.0,53.0,,12.5,10.0,21.1,,8.3,23.2,,
2020-03-22,23:00:00,,41.6956788,13.2577285,109,44.1,1006.4,41.0,109.0,0.6,10.5,1.0,5.5,0.1,3.2,29.7,,
2020-03-21,23:00:00,,45.04884,9.693265,17,83.0,1013.1,17.0,78.0,,9.4,,,0.1,14.7,36.2,,
2020-03-22,23:00:00,,45.962624,12.655944,42,34.5,1029.5,10.0,42.0,,6.5,1.5,5.2,,,,,
2020-03-23,12:00:00,,40.81588,14.34927,32,40.0,1018.0,23.0,67.0,,13.0,6.1,10.8,,2.2,31.8,0.0,
2020-03-21,23:00:00,,45.0314278,7.6517438,76,61.2,1022.7,,76.0,,6.9,4.7,15.2,,,,,
2020-03-21,23:00:00,,45.6989656,8.4606044,61,62.6,1025.0,,61.0,,4.7,1.3,7.1,0.1,,,,
2020-03-21,23:00:00,,45.04008561,8.91415717,74,3.0,,,74.0,,10.7,10.7,13.2,0.1,7.8,41.5,,
2020-03-22,23:00:00,,41.9939694,12.7245045,78,33.0,1014.6,28.0,78.0,0.4,11.6,,,,6.4,24.8,,
2020-03-21,23:00:00,,45.86375372,9.39995481,61,69.8,1025.1,20.0,61.0,,0.1,2.0,5.1,,10.1,43.9,,
2020-03-22,23:00:00,,43.517506738783,10.321031260215,53,26.0,1024.0,16.0,53.0,,11.0,10.8,15.4,0.1,8.3,28.9,-7.5,
2020-03-21,23:00:00,,44.733011,11.299659,42,66.2,1016.7,29.0,93.0,,11.1,10.9,2.0,0.1,13.8,41.5,,
2020-03-22,23:00:00,,43.470437486833,11.141284549758,57,59.0,1019.0,17.0,57.0,,4.4,3.0,3.0,,6.0,,,
2020-03-23,12:00:00,,41.11575,14.77998,33,42.6,1018.3,32.0,55.0,,11.6,7.5,15.8,,1.6,33.0,,
2020-03-21,23:00:00,,45.8169745,8.82024911,76,50.0,1030.9,21.0,76.0,,3.3,7.0,11.0,0.1,22.9,,,
2020-03-21,23:00:00,,45.01688067,11.07609728,93,33.0,1027.6,41.0,93.0,2.6,8.8,10.0,20.0,0.1,9.2,49.2,,
2020-03-21,23:00:00,,44.9895,10.019201,55,61.5,1016.3,16.0,55.0,5.1,11.6,9.1,15.5,0.1,6.4,38.2,,
2020-03-22,23:00:00,,44.925963,10.371914,55,87.0,1008.7,11.0,55.0,5.1,7.7,,0.1,,3.7,26.4,,
2020-03-21,23:00:00,,44.443746,12.253247,82,77.3,1019.8,33.0,82.0,5.1,10.9,14.3,18.3,0.1,12.8,29.7,,
2020-03-23,12:00:00,,41.08444,14.34472,35,37.6,1011.1,14.0,35.0,,11.8,3.6,,,2.0,35.3,-2.2,
2020-03-21,23:00:00,,44.3703176,7.5251893,70,61.3,1018.2,,70.0,,5.5,1.0,3.6,0.1,,,,
2020-03-23,11:00:00,,40.85419,14.25133,45,46.3,1017.6,26.0,45.0,,11.2,4.0,,2.8,3.8,,,
2020-03-21,23:00:00,,45.49822794,9.55624181,82,46.0,1028.5,30.0,82.0,,5.0,2.0,,,10.6,45.5,-5.5,
2020-03-21,23:00:00,,44.542152405,10.819877625,23,85.2,1014.6,23.0,68.0,,9.0,5.2,9.0,,13.3,31.7,,
2020-03-21,23:00:00,,45.15047339,9.93059842,89,34.2,1026.0,30.0,89.0,,7.0,2.7,9.0,,13.3,44.3,,
2020-03-21,23:00:00,,45.87460256,10.17736553,72,55.3,1026.7,22.0,72.0,,5.0,5.0,9.8,,7.4,48.0,,
2020-03-22,23:00:00,,42.7477229,11.8630202,57,54.0,1022.0,18.0,57.0,0.5,6.1,12.0,30.0,0.1,1.9,29.7,,
2020-03-23,12:00:00,,40.92431,14.48133,36,42.5,1018.3,32.0,58.0,3.4,11.6,7.6,16.2,,2.5,36.2,,
2020-03-21,23:00:00,,45.53476819,9.23610903,70,48.0,1027.0,,70.0,,5.5,,,0.1,23.8,,,
2020-03-21,23:00:00,,44.928769,11.178946,102,62.5,1019.6,37.0,102.0,,10.8,16.8,22.6,0.1,9.6,39.8,,
2020-03-22,23:00:00,,42.5660721,12.962445,61,45.0,1015.0,18.0,61.0,0.4,-5.0,5.6,13.8,0.1,1.4,38.6,-15.0,
2020-03-21,23:00:00,,45.30278678,9.49528589,87,49.3,1026.6,35.0,87.0,,6.6,1.5,12.6,,22.9,42.3,,
2020-03-22,23:00:00,,41.9644063,12.6684397,76,33.0,1016.6,30.0,76.0,0.4,10.5,12.0,23.0,,6.4,24.8,,
2020-03-21,23:00:00,,44.800377,10.884255,37,65.5,1020.4,28.0,112.0,,11.6,5.0,12.5,,12.8,37.0,,
2020-03-22,23:00:00,,44.215153,12.04816,53,38.0,1027.2,17.0,53.0,,5.5,6.5,10.5,0.1,3.7,29.3,,
2020-03-21,23:00:00,,45.640486,13.766081,72,27.0,1027.6,26.0,72.0,0.7,8.2,2.5,,,,,-9.7,99.6
2020-03-21,23:00:00,,44.85998,11.61,93,51.6,1019.0,30.0,93.0,,11.4,2.0,,0.1,8.3,41.1,,
2020-03-22,23:00:00,,44.890934,10.399611,53,87.0,1008.7,18.0,53.0,5.1,7.7,,0.1,,3.7,32.1,,
2020-03-22,23:00:00,,44.467189,11.416601,42,46.5,1026.0,25.0,42.0,,3.8,5.5,10.5,0.1,4.2,21.6,,
2020-03-22,23:00:00,,42.404509,12.8567281,61,45.0,1015.0,20.0,61.0,0.4,-5.0,5.6,13.8,0.1,0.5,30.1,-15.0,
2020-03-21,23:00:00,,45.0305638,7.595251,76,48.2,1026.1,,76.0,,6.8,7.8,13.1,,,,,
2020-03-21,23:00:00,,44.064308167,12.552490234,80,66.0,1018.0,30.0,80.0,,12.0,5.1,,,14.2,36.6,6.0,
2020-03-22,23:00:00,,41.9328321,12.5012473,82,31.5,1015.0,31.0,82.0,0.3,12.5,10.0,21.1,0.1,8.3,23.2,,
2020-03-22,23:00:00,,44.658226,10.289367,53,87.0,1008.7,20.0,53.0,,7.7,,0.1,,6.9,28.5,,
2020-03-21,23:00:00,,44.670378,10.9623,82,85.2,1014.6,31.0,82.0,,9.0,5.2,9.0,,11.0,33.3,,
2020-03-22,23:00:00,,44.14044,10.917166,34,58.5,1020.8,21.0,34.0,,-0.2,8.0,17.5,,3.7,17.5,,
2020-03-22,10:00:00,,40.470596,15.298722999999995,11,1.0,1010.5,25.0,70.0,0.1,0.5,,,10.9,2.8,,,
2020-03-22,23:00:00,,43.927406,12.224794,42,50.5,1027.7,10.0,85.0,,1.6,5.5,18.0,,4.2,41.5,,
2020-03-21,23:00:00,,45.69043647,9.48426111,59,57.0,1029.6,21.0,59.0,1.1,3.3,0.5,0.5,0.1,6.9,42.3,,
2020-03-22,23:00:00,,43.838363142651,10.573105456095,82,23.2,1026.0,29.0,82.0,1.4,8.8,22.4,24.4,,9.6,,,
2020-03-23,12:00:00,,40.91882,14.78553,-,42.5,1018.3,37.0,88.0,,11.6,7.8,16.7,2.8,3.7,,,
2020-03-20,23:00:00,,45.14254358,10.04384767,107,34.2,1026.0,52.0,107.0,1.1,7.0,2.7,9.0,0.1,27.5,37.8,,
2020-03-22,23:00:00,,45.62420762,13.78026035,25,14.0,1027.0,8.0,25.0,1.1,8.3,12.0,16.0,,,,,
2020-03-22,23:00:00,,44.792419,10.330985,55,87.0,1008.7,23.0,55.0,,7.7,,0.1,,4.2,26.9,,
2020-03-22,23:00:00,,41.9248746,12.4934413,82,31.5,1015.0,33.0,82.0,0.3,12.5,10.0,21.1,0.1,4.6,23.2,,
2020-03-22,23:00:00,,46.06611716,13.2406876,17,24.0,1027.8,8.0,17.0,1.3,6.7,4.6,9.6,,,,,
2020-03-21,23:00:00,,44.636985,10.905724,27,85.2,1014.6,27.0,93.0,,9.0,5.2,9.0,,17.0,33.3,,
2020-03-22,23:00:00,,43.458591187681,11.888247347751,55,35.0,,17.0,55.0,,4.4,12.5,26.5,,5.5,,,
2020-03-21,23:00:00,,45.4371054,8.7452213,80,56.7,1026.6,,80.0,,5.9,6.2,13.5,,,,,
2020-03-21,23:00:00,,44.427783966,12.186494827,33,75.0,1019.5,33.0,102.0,5.1,11.2,11.5,15.8,0.1,12.4,40.7,,
2020-03-22,23:00:00,,41.7702662,12.2366768,85,28.5,1018.5,30.0,85.0,0.6,12.5,8.7,,0.1,8.3,27.7,-5.0,
2020-03-23,12:00:00,,40.91463,14.29866,29,38.5,1018.0,35.0,86.0,,12.5,6.9,10.8,,1.9,29.0,-1.0,
2020-03-21,23:00:00,,45.0402149,7.6227648,76,61.2,1022.7,,76.0,,6.9,4.7,15.2,,,,,
2020-03-21,23:00:00,,44.013877,12.420964,99,85.5,1017.6,20.0,99.0,,8.1,2.0,7.7,,6.0,40.7,,
2020-03-21,23:00:00,,45.51933533,9.59201917,65,46.0,1028.5,30.0,65.0,0.6,5.0,2.0,,0.1,16.5,,-5.5,
2020-03-21,23:00:00,,44.873727,10.664777,87,65.5,1020.4,33.0,87.0,,11.6,5.0,12.5,0.1,6.0,39.4,,
2020-03-22,23:00:00,,43.881437296938,10.244316772468,76,23.0,1023.9,26.0,76.0,,12.0,13.3,15.3,,8.3,,,
2020-03-22,23:00:00,,43.913660405481,11.006226278906,57,23.0,1025.7,17.0,57.0,,7.2,12.0,23.0,,4.2,,,
2020-03-21,23:00:00,,44.052101135,12.575679779,35,66.0,1018.0,35.0,91.0,,12.0,5.1,,0.1,12.8,35.4,6.0,
2020-03-22,23:00:00,,44.841275,10.344572,50,87.0,1008.7,12.0,50.0,5.1,7.7,,0.1,,3.7,26.9,,
2020-03-22,23:00:00,,44.921606,10.326173,53,87.0,1008.7,17.0,53.0,5.1,7.7,,0.1,,3.7,26.4,,
2020-03-21,23:00:00,,41.668821,13.6755001,1,31.0,1021.4,20.0,61.0,0.7,21.1,8.0,12.0,0.1,6.0,19.1,,
2020-03-21,23:00:00,,45.41277633,10.68336214,127,40.7,1021.1,51.0,127.0,,7.5,1.0,,,12.4,43.1,-5.0,
2020-03-22,23:00:00,,44.215974,12.057502,20,38.0,1027.2,20.0,80.0,,5.5,6.5,10.5,0.1,11.0,40.3,,
2020-03-23,12:00:00,,40.97971,14.401,2,40.0,1018.0,38.0,107.0,2.2,13.0,6.1,10.8,1.9,1.3,,0.0,
