local date,local time,location,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-23,23:00:00,"88, Via Duca d'Aosta, Sant'Andrea / Štandrež, Gorizia, UTI Collio - Alto Isonzo, Friuli Venezia Giulia, 34170, Italia",45.93701316,13.61633301,17,30.8,1024.5,4.0,17.0,0.5,9.3,3.3,11.6,,,,,
2020-03-23,23:00:00,"Impianto Hera Ambiente, Via Enrico Fermi, Bagnolo, Forlì, Unione di Comuni della Romagna Forlivese, Forlì-Cesena, Emilia-Romagna, 47100, Italia",44.229397,12.08916,32,43.5,1024.2,20.0,50.0,,7.7,0.2,7.0,0.1,5.5,32.1,,
2020-03-22,23:00:00,"Al Camino, Via Borgo Vico, Bignanico, Vico, Como, Lombardia, 22100, Italia",45.81504217,9.06697886,85,34.0,1009.2,31.0,85.0,0.6,-5.5,2.0,2.7,0.1,9.6,37.4,,
2020-03-22,23:00:00,"Scuola Primaria Giosuè Carducci, Viale Ugo Bassi, Campo di Marte, Quartiere 2, Firenze, Toscana, 50137, Italia",43.784169388287,11.286879604208,53,66.7,1020.8,16.0,53.0,0.8,0.9,,,0.1,8.3,,-4.6,
2020-03-24,11:00:00,"SP163, Sant'Agata Irpina, Solofra, Avellino, Campania, 83025, Italia",40.83555,14.82459,6,1.0,1015.9,9.0,14.0,0.7,0.5,,,6.4,1.3,,,
2020-03-24,10:00:00,"Via del Carmine, Fratte, Brignano Inferiore, Salerno, Campania, 84126, Italia",40.68389,14.76972,5,1.0,1015.9,5.0,3.0,,0.5,,,0.1,3.2,,,
2020-03-22,23:00:00,"Cantavenna, Gabiano, Alessandria, Piemonte, Italia",45.159718,8.2261891,82,70.0,1023.8,,82.0,,2.7,0.5,,0.1,,,,
2020-03-22,23:00:00,"SP460, Borgiallo, Ceresole Reale, Torino, Piemonte, Italia",45.4321772,7.2343067,42,,,,42,,0,4,,,,,,
2020-03-22,23:00:00,"22/A, Piazza Conti di Rebaudengo, Rebaudengo, Torino, Piemonte, 10155, Italia",45.104332,7.6964231,87,61.0,1023.9,,87.0,,4.4,2.0,6.0,0.1,,,,
2020-03-23,23:00:00,"8, Via Stazzone, Tantlòn, Cervia, Ravenna, Emilia-Romagna, 48016, Italia",44.283857,12.332249,32,44.0,1025.0,15.0,34.0,5.1,7.6,8.0,13.3,0.1,3.7,31.7,-3.6,
2020-03-23,23:00:00,"Via Verdi, San Pasquale, Cassino, Frosinone, Lazio, Italia",41.4907889,13.8333776,38,23.0,1028.6,40.0,38.0,0.2,11.1,8.0,11.0,0.1,5.5,16.7,,
2020-03-23,23:00:00,"Passeggiata Michele Alboreto, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, Emilia-Romagna, 41124, Italia",44.651569,10.907312,38,27.0,1021.7,13.0,38.0,,6.1,4.0,8.5,,29.8,32.1,,
